enrollment_id,enrollment_date,user_id,course_id
1,2024-02-05,1,C004
2,2024-01-27,1,C005
3,2024-09-02,2,C001
4,2024-07-07,2,C006
5,2024-02-11,3,C007
6,2024-09-14,3,C002
7,2024-02-08,4,C001
8,2024-03-20,4,C003
9,2024-04-04,4,C007
10,2024-08-04,5,C004
11,2024-11-08,6,C004
12,2024-01-17,6,C003
13,2024-07-24,6,C005
14,2024-01-04,7,C008
15,2024-08-24,8,C007
16,2024-10-09,9,C008
17,2024-02-09,9,C001
18,2024-03-17,9,C004
19,2024-09-18,10,C005
20,2024-05-09,11,C002
21,2024-11-22,12,C007
22,2024-12-26,12,C005
23,2024-01-09,12,C002
24,2024-09-01,13,C002
25,2024-10-17,14,C008
26,2024-01-22,14,C005
27,2024-01-21,14,C003
28,2024-06-08,15,C006
29,2024-05-25,15,C005
30,2024-08-13,16,C006
31,2024-06-03,16,C008
32,2024-01-04,17,C007
33,2024-04-05,18,C002
34,2024-08-21,19,C001
35,2024-03-10,20,C004
36,2024-12-04,21,C003
37,2024-03-21,21,C004
38,2024-07-26,22,C005
39,2024-09-09,23,C005
40,2024-10-17,24,C005
41,2024-01-05,25,C004
42,2024-09-28,25,C003
43,2024-05-14,26,C006
44,2024-09-20,26,C001
45,2024-08-15,26,C007
46,2024-04-22,27,C006
47,2024-07-14,28,C007
48,2024-12-20,28,C006
49,2024-11-02,29,C002
50,2024-03-16,29,C004
51,2024-10-03,30,C006
52,2024-02-01,30,C008
53,2024-05-26,31,C003
54,2024-09-07,31,C007
55,2024-12-28,32,C002
56,2024-12-14,32,C007
57,2024-01-08,33,C001
58,2024-11-16,33,C008
59,2024-06-17,34,C006
60,2024-07-22,34,C004
61,2024-05-13,35,C006
62,2024-08-23,35,C005
63,2024-04-18,35,C008
64,2024-03-04,36,C006
65,2024-10-15,36,C002
66,2024-07-13,36,C008
67,2024-09-28,37,C006
68,2024-01-15,37,C007
69,2024-07-09,38,C001
70,2024-01-02,39,C008
71,2024-03-09,39,C006
72,2024-06-22,40,C003
73,2024-12-13,40,C005
74,2024-02-03,41,C001
75,2024-11-19,41,C003
76,2024-06-22,42,C008
77,2024-10-24,42,C002
78,2024-08-24,43,C008
79,2024-07-04,43,C007
80,2024-11-17,44,C007
81,2024-05-23,45,C004
82,2024-12-23,45,C001
83,2024-01-06,46,C001
84,2024-07-16,47,C008
85,2024-01-12,48,C007
86,2024-02-08,49,C008
87,2024-06-20,50,C005
88,2024-12-06,50,C003
89,2024-05-26,51,C007
90,2024-09-12,52,C008
91,2024-02-05,52,C006
92,2024-05-13,52,C005
93,2024-12-11,53,C003
94,2024-07-20,54,C006
95,2024-03-26,54,C008
96,2024-09-26,55,C002
97,2024-12-24,56,C002
98,2024-06-13,57,C005
99,2024-01-07,57,C007
100,2024-06-04,57,C002
101,2024-04-20,58,C004
102,2024-02-17,58,C008
103,2024-05-21,58,C002
104,2024-02-22,59,C007
105,2024-06-21,59,C001
106,2024-01-09,59,C004
107,2024-08-10,60,C006
108,2024-04-19,60,C003
109,2024-01-01,60,C005
110,2024-09-27,61,C003
111,2024-12-20,61,C006
112,2024-02-09,61,C001
113,2024-05-13,62,C007
114,2024-05-19,63,C005
115,2024-05-03,63,C002
116,2024-06-25,64,C003
117,2024-05-23,64,C007
118,2024-04-02,64,C004
119,2024-11-03,65,C002
120,2024-08-10,65,C003
121,2024-06-15,66,C002
122,2024-05-19,66,C007
123,2024-08-06,67,C007
124,2024-04-28,67,C006
125,2024-07-13,67,C003
126,2024-08-13,68,C002
