lesson_id,lesson_title,course_id
1,Introduction,C001
2,Installation & Setup,C001
3,Core Concepts,C001
4,Hands-on Lab,C001
5,Advanced Topics,C001
6,Best Practices,C001
7,Real-world Use Cases,C001
8,Assessment Overview,C001
9,Introduction,C002
10,Installation & Setup,C002
11,Core Concepts,C002
12,Hands-on Lab,C002
13,Advanced Topics,C002
14,Best Practices,C002
15,Real-world Use Cases,C002
16,Assessment Overview,C002
17,Introduction,C003
18,Installation & Setup,C003
19,Core Concepts,C003
20,Hands-on Lab,C003
21,Advanced Topics,C003
22,Best Practices,C003
23,Real-world Use Cases,C003
24,Assessment Overview,C003
25,Introduction,C004
26,Installation & Setup,C004
27,Core Concepts,C004
28,Hands-on Lab,C004
29,Advanced Topics,C004
30,Best Practices,C004
31,Real-world Use Cases,C004
32,Assessment Overview,C004
33,Introduction,C005
34,Installation & Setup,C005
35,Core Concepts,C005
36,Hands-on Lab,C005
37,Advanced Topics,C005
38,Best Practices,C005
39,Real-world Use Cases,C005
40,Assessment Overview,C005
41,Introduction,C006
42,Installation & Setup,C006
43,Core Concepts,C006
44,Hands-on Lab,C006
45,Advanced Topics,C006
46,Best Practices,C006
47,Real-world Use Cases,C006
48,Assessment Overview,C006
49,Introduction,C007
50,Installation & Setup,C007
51,Core Concepts,C007
52,Hands-on Lab,C007
53,Advanced Topics,C007
54,Best Practices,C007
55,Real-world Use Cases,C007
56,Assessment Overview,C007
57,Introduction,C008
58,Installation & Setup,C008
59,Core Concepts,C008
60,Hands-on Lab,C008
61,Advanced Topics,C008
62,Best Practices,C008
63,Real-world Use Cases,C008
64,Assessment Overview,C008
