activity_id,user_id,lesson_id,activity_timestamp
500,3901,62,2023-09-16 07:17:12
501,5656,53,2025-09-20 10:26:34
502,4596,11,2023-12-30 04:56:59
503,6854,61,2024-09-28 21:32:07
504,516,23,2024-08-04 11:22:59
505,4987,56,2023-01-26 20:35:01
506,4605,12,2023-02-20 05:15:27
507,1783,24,2024-11-17 23:21:29
508,8103,57,2025-09-08 04:51:02
509,7837,24,2025-08-02 14:44:36
510,6494,30,2024-11-28 06:00:40
511,1315,50,2023-07-15 18:22:49
512,9379,49,2025-07-25 20:49:50
513,7190,23,2024-03-25 12:17:38
514,7650,26,2025-09-05 08:43:44
515,5454,13,2025-05-22 13:32:58
516,4893,2,2024-12-03 07:45:53
517,7699,17,2024-10-09 16:02:48
518,7824,15,2023-04-30 10:14:53
519,8371,35,2024-08-24 11:38:21
520,876,48,2025-02-10 05:01:44
521,6942,27,2024-05-04 13:05:40
522,8005,36,2025-07-26 08:04:35
523,116,11,2024-09-28 08:28:38
524,2688,56,2025-03-19 07:02:59
525,8770,56,2024-07-18 03:19:56
526,9609,51,2025-05-26 08:32:17
527,1809,22,2023-12-06 00:46:32
528,9297,36,2024-01-15 22:17:07
529,376,13,2025-01-02 11:08:07
530,2498,10,2024-03-03 05:54:55
531,4912,54,2024-11-05 21:38:24
532,552,30,2024-12-28 14:31:49
533,650,35,2025-11-12 21:56:41
534,4004,5,2024-04-10 13:33:42
535,1363,48,2023-06-16 02:38:28
536,6285,4,2024-03-23 10:22:11
537,8847,54,2023-10-15 12:43:11
538,9357,53,2025-09-12 02:24:07
539,2048,16,2023-03-08 00:18:05
540,7254,54,2024-11-07 17:58:55
541,4052,28,2023-03-21 00:36:43
542,1039,50,2023-05-17 22:10:53
543,1126,39,2024-04-22 13:45:26
544,7116,16,2024-03-16 22:47:26
545,6076,50,2023-05-18 04:50:41
546,8132,19,2023-09-25 01:20:32
547,1608,49,2025-03-20 19:50:27
548,1148,2,2023-06-16 21:14:07
549,9195,32,2025-10-26 22:58:09
550,6959,56,2025-03-03 09:16:50
551,4837,60,2024-12-08 10:20:10
552,3622,55,2023-01-23 21:36:48
553,413,11,2023-09-25 12:52:38
554,2812,23,2025-03-24 01:07:57
555,1468,21,2025-08-06 20:06:26
556,9440,2,2025-10-24 12:57:43
557,3849,61,2024-06-26 02:12:34
558,7495,11,2024-08-06 08:49:29
559,510,28,2023-06-21 12:00:55
560,2926,29,2024-09-29 08:22:58
561,3804,14,2023-11-25 23:27:49
562,9223,35,2025-05-31 03:03:20
563,4780,34,2025-06-20 11:39:48
564,1904,30,2025-03-09 13:25:49
565,2835,35,2025-04-04 10:46:13
566,8749,27,2023-09-16 02:05:34
567,7349,11,2023-09-19 22:32:42
568,9963,44,2025-04-27 21:07:53
569,6642,55,2023-07-07 02:39:21
570,4701,6,2023-02-03 19:07:11
571,6218,59,2025-08-03 22:04:27
572,6931,15,2024-05-08 12:33:58
573,8298,31,2023-08-13 18:20:44
574,4705,26,2025-07-20 13:57:25
575,9673,3,2025-04-14 15:24:51
576,8575,41,2023-04-20 05:22:17
577,4586,57,2023-08-09 07:32:39
578,7393,52,2024-01-23 14:13:14
579,687,21,2025-07-30 10:15:03
580,8857,42,2025-04-18 05:38:56
581,3989,64,2025-09-25 09:50:29
582,9848,52,2024-05-20 01:49:05
583,4930,58,2025-08-02 06:10:47
584,9339,39,2023-09-26 02:44:58
585,6796,17,2024-01-31 20:23:36
586,8562,5,2023-02-15 15:42:19
587,1731,51,2025-04-30 18:15:43
588,7771,49,2025-12-08 09:28:59
589,7590,36,2024-06-13 06:39:41
590,5354,24,2025-05-30 19:08:37
591,5589,61,2025-10-27 15:15:58
592,2015,16,2024-06-15 17:07:12
593,2627,57,2023-09-16 05:47:44
594,3496,62,2023-08-11 16:49:59
595,4722,23,2025-06-06 18:07:03
596,5062,17,2023-03-26 12:45:39
597,4601,2,2025-03-06 02:45:12
598,5523,27,2025-08-12 22:07:16
599,7366,51,2023-04-17 05:15:51
600,3912,46,2025-05-12 04:48:55
601,7354,23,2024-06-11 01:40:24
602,4222,23,2023-10-31 15:54:20
603,5021,19,2024-11-23 19:54:58
604,7036,24,2025-09-28 14:58:19
605,8236,17,2024-09-08 07:51:25
606,5840,3,2025-06-30 09:52:06
607,5672,25,2025-09-03 22:00:33
608,7029,41,2023-03-09 20:26:38
609,1297,48,2023-12-27 18:34:36
610,1859,62,2025-12-17 16:38:51
611,9900,8,2023-07-08 23:54:24
612,4285,15,2024-04-04 02:25:04
613,9207,25,2025-05-10 21:21:54
614,1353,5,2025-08-12 07:55:54
615,5333,56,2023-08-15 09:40:09
616,3969,12,2023-07-12 19:25:17
617,740,64,2024-02-27 10:01:53
618,5843,23,2025-11-25 00:52:11
619,2002,47,2024-12-12 15:18:50
620,7141,46,2023-12-15 05:50:20
621,543,60,2024-08-17 07:14:49
622,7229,61,2025-04-14 16:15:24
623,5629,42,2025-08-17 08:07:39
624,3346,27,2023-10-01 19:18:26
625,2188,50,2023-08-23 02:58:00
626,8058,30,2025-09-12 23:04:27
